v:-7.361000 vpre: -7.322500 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:-12.683900 vpre: -12.645500 vdlt:0.038400 stdvdlt:0.024000, rs:0.014400
v:-15.496500 vpre: -15.458000 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:-21.835699 vpre: -21.797199 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:-22.467400 vpre: -22.428900 vdlt:0.038500 stdvdlt:0.024000, rs:0.014500
v:-28.861500 vpre: -28.823099 vdlt:0.038401 stdvdlt:0.024000, rs:0.014401
v:-34.069099 vpre: -34.030701 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:-34.134998 vpre: -34.096600 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:-43.248299 vpre: -43.209900 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:-45.044601 vpre: -45.006199 vdlt:0.038403 stdvdlt:0.024000, rs:0.014403
v:-46.752998 vpre: -46.714600 vdlt:0.038399 stdvdlt:0.024000, rs:0.014399
v:-51.999100 vpre: -51.960602 vdlt:0.038498 stdvdlt:0.024000, rs:0.014498
v:-62.205502 vpre: -62.167099 vdlt:0.038403 stdvdlt:0.024000, rs:0.014403
